uid,body,title,url,newspaper_uid,host,_tokens_title,_tokens_body
19f00498d7dc5cac361e1b738de46afb,"El hijo de la farmacéutica vive por las competiciones de altavoces. Cada domingo conduce hasta un polígono abandonado de León tras enjoyarse el oro de su abuela muerta, comerse un ladrillo (así llama a los ansiolíticos), lanzar un beso a su reflejo en el espejo y desayunar Red Bull con cigarrillos. Lo suyo es pinchar bakalao desde el Citroen ZX gris de su abuelo. Fiestas de tuning en uno de esos no-lugares que, tras el cierre de la mina y las fábricas de la zona, se ha convertido en lo que te enseña Google cuando tecleas espacio liminal, sitios de paso que no pisa nadie y donde las pintadas de los muros semiderruidos asoman descoloridas, sin vida. Él ya tiene más de 30, no se le conoce trabajo legal y en el polígono siempre lo esperan chavalas con el mismo plumón, botas y flequillo. Por eso no puede evitar sentirse como si estuviese de fiesta en una cadena de montaje y se pone ansioso porque ni allí acude la que de verdad le interesa ni le quedan más ladrillos en el bolsillo.","Tristes, drogados, periféricos: la nueva literatura que refleja el dolor de los polígonos",https://elpais.com/babelia/2022-07-09/literatura-del-poligono-tristeza-explotacion-y-ansioliticos-en-el-extrarradio.html,elpais,elpais.com,8,81
83b20f64fc387b1a8099e98ff0d1a80e,"El sol de la mañana baña un campo de Ibiza alejado de la costa. Las cabras pastan, la particular luz balear pasa entre los olivos. Róisín Murphy (Arklow, Irlanda, 48 años) se ha construido un nido en lo más profundo de la isla. Por alguna razón, Murphy e Ibiza encajan. No deben quedar muchas discotecas en que no hayan defendido los éxitos de la cantante, y el ambiente general es propicio para el trabajo creativo que, al fin y al cabo, es lo suyo. Al principio no me convencía la idea de venir aquí, admite, con marcado acento irlandés.",Róisín Murphy: Los gays entienden la opresión de las mujeres. No se detienen ante nada,https://elpais.com/icon/2022-07-09/roisin-murphy-los-gays-entienden-la-opresion-de-las-mujeres-no-se-detienen-ante-nada.html,elpais,elpais.com,7,50
6ccfea1014508535c3dac08011366429,"El día que Octavio Leal Moncada, de 79 años, fue capturado, sus seguidores respondieron. La capital del Estado de Tamaulipas, Ciudad Victoria, que no suele aparecer en las noticias de la prensa nacional con la misma voracidad que lo hacen otras vecinas de la frontera de las más violentas del país fue sitiada el martes por cientos de hombres, algunos armados, tras la captura del líder de un grupo paramilitar poco conocido a nivel nacional: la Columna Armada Pedro José Méndez. Esta organización con nombre de un general de la Revolución, que apela al patriotismo y a la defensa autónoma de sus pueblos, se ha convertido en un poderoso agente político y militar en la zona, ajeno al Estado. Pero unos antecedentes de narcotráfico, poder político y sangre les persigue.","La Columna Armada: una historia de narcos, autodefensas y caciques en Tamaulipas",https://elpais.com/mexico/2022-07-09/la-columna-armada-una-historia-de-narcos-autodefensas-y-caciques-en-tamaulipas.html,elpais,elpais.com,7,63
00775090ba244862f7fd2320a1de275e,"Elena (prefiere usar un nombre falso) toma una buena bocanada de aire antes de empezar a desgranar su rutina diaria. Como para cargarse al hombro el peso de las más de 6.225 carreras que lleva acumuladas conduciendo para Uber. Mi día empieza a las 5:30 de la mañana. Me levanto, me preparo y salgo, porque a las 6:05 sale el tren que va a Madrid, arranca esta mujer ecuatoriana de 36 años, que llegó a España hace 20, y a Uber hace tres y medio.",Somos esclavos de Uber: el coste para los conductores de un modelo de negocio imposible,https://elpais.com/economia/2022-07-11/somos-esclavos-de-uber-el-coste-para-los-conductores-de-un-modelo-de-negocio-imposible.html,elpais,elpais.com,6,41
35ce7181e707227bb4cf71a2d4ed0827,"Parisiense y gaditano se enamoran en Madrid, primavera de 2020. Trabajaban en la puesta en marcha del hotel Four Seasons. Charlotte Finkel, de auxiliar de maître; Mario Sánchez, de jefe de cocina. Verano de 2021, se van a vivir juntos. Deciden abrir su propio restaurante. Hace calor, tienen la cabeza atareada, de dinero andan bastante tiesos. Él va resolviendo las comidas al vuelo. Combina cosas frías con algo de boulangerie. Da a luz su steak tartar con rodajas de cruasán tostado y salsa béarnaise. Fue un apaño, hasta donde pueda ser un apaño cualquier cosa que improvise un cocinero que a sus 31 años ya ha trabajado con Martín Berasategui, Sergi Arola y Dabiz Muñoz. Un año más tarde, el steak tartar de su verano del amor es un bocado insignia de Comparte Bistró.",El restaurante madrileño en el que la cocina gaditana y la francesa se enamoraron,https://elpais.com/eps/2022-07-11/el-restaurante-de-chueca-donde-el-steak-tartar-es-el-bocado-insignia.html,elpais,elpais.com,6,76
239f3db24bd090358a06a57b3dfe2ac6,"Después de un largo día, no hay nada como entrar a casa y descansar plenamente, y qué mejor que relajarse en un sitio que está limpio y que huele bien. Los ambientadores son sustancias específicas que se utilizan para perfumar un determinado espacio. Se pueden poner en diferentes sitios como la casa, el coche, la oficina, etc., y vienen en todos los colores, diseños, y en infinidad de fragancias. Hoy en Escaparate queremos recomendarte los 5 mejores ambientadores para casa, así que no te pierdas la lista y prepárate para disfrutar de un aroma único en tu hogar.",Los 5 mejores ambientadores para casa,https://elpais.com/mexico/escaparate/2022-06-26/los-5-mejores-ambientadores-para-casa.html,elpais,elpais.com,3,47
d78c389a579c19e238f77ffb462596eb,"Breitbart News fue una pieza clave de la maquinaria de desinformación que llevó a Donald Trump al Despacho Oval. El medio ultraderechista fundado por Steve Bannon, asesor estrella de Trump en su carrera presidencial y más tarde estratega jefe de la Casa Blanca hasta su despido en 2017, diseminó ataques antisemitas contra sus rivales, dio alas al proyecto del muro de México y quitó hierro a las manifestaciones nacionalistas blancas del movimiento MAGA (acrónimo de Make America Great Again) y a su carácter homófobo.",Las activistas que dejaron sin anuncios a la web de Steve Bannon van ahora a por Fox News,https://elpais.com/tecnologia/2022-07-09/las-activistas-que-dejaron-sin-anuncios-a-la-web-de-steve-bannon-van-ahora-a-por-fox-news.html,elpais,elpais.com,10,50
0655b4fe18e62c2fe448880ada98cfd4,"Una de las paradojas filosóficas y teológicas más debatidas es el problema del mal. Si existe un Dios todopoderoso y bondadoso, ¿por qué existe la maldad? Se atribuye al filósofo empirista David Hume el argumento evidencial del problema del mal. Muy simplificado viene a decir que, si existe, implica que Dios no es bueno o que no es todopoderoso. Un contraargumento defendido por los filósofos teístas es el del libre albedrío: Dios es todopoderoso y bueno, pero su mejor criatura, el Homo sapiens sapiens, es capaz de tomar sus propias decisiones, y entre ellas está el mal, ya sea como pecado o como delito. Esta teoría podría servir para explicar el mal de origen social, infligido por otros seres humanos, aunque no sirve para explicar el mal natural, el que proviene de hechos que no tienen nada que ver con la acción humana. Muchos filósofos como Voltaire argumentaron que el terremoto de Lisboa, en el día de Todos los Santos de 1755, era un argumento en contra de la Divina Providencia y de la presunta benevolencia de Dios.",¿Dónde está exactamente el origen del mal?,https://elpais.com/eps/2022-07-07/donde-esta-exactamente-el-origen-del-mal.html,elpais,elpais.com,3,85
dd7363a9668481d681f62b8eb2f2e66b,"El papa Francisco ha reconocido en una entrevista con Reuters que todavía hay países donde la Iglesia católica es reticente a implementar medidas para proteger a los niños del abuso sexual por parte del clero. No obstante, ha advertido con contundencia: la dirección que ha tomado [la Iglesia] es irreversible. Durante una entrevista en el Vaticano el 2 de julio, el Papa describió el proceso hacia la tolerancia cero que las diócesis de todo el mundo comenzaron a seguir después de que el periódico Boston Globe destapase en 2002 décadas de abuso y encubrimiento en el episcopado bostoniano. Dos decenios en los que, a pesar de las reformas eclesiásticas para subsanar el daño de esta lacra, sigue habiendo víctimas en todo el mundo que se quejan del maltrato que siguen recibiendo de los obispos, que no las reconocen como tales o se niegan a investigar el pasado. Hay resistencia, pero con cada nuevo paso hay una mayor conciencia de que este es el camino a seguir, afirmó Francisco.",El Papa asegura que el camino que ha seguido la Iglesia contra la pederastia es irreversible,https://elpais.com/sociedad/2022-07-08/el-papa-asegura-que-el-camino-que-ha-seguido-la-iglesia-contra-la-pederastia-es-irreversible.html,elpais,elpais.com,6,76
5b9d289051e5729cbfffcf01f0a734d4,"En todos los asuntos de la vida hay que tener en cuenta a los monos. Pueden irrumpir por cualquier ventana de la literatura, la política, el periodismo, el amor, la familia o la oficina. Que se lo pregunten a los amigos del Instituto Cervantes en Nueva Delhi, un punto de referencia imprescindible para los estudiantes de español en India, los lectores, los hispanistas y los monos. Ya se ven pocas vacas por las calles de la ciudad, pero los monos esperan en cualquier lugar, por ejemplo, en el jardín del Instituto Cervantes. Confieso que al verlos me parecieron muy simpáticos, de árbol en árbol, de arbusto en arbusto, las mamás con sus crías en el lomo y los papás con una cabellera digna de león en miniatura y mucha confianza en su forma de saltar y de mirar. Son muy simpáticos, dije al verlos. Pero hay que tener mucho cuidado con ellos, me respondieron.",Los monos,https://elpais.com/opinion/2022-07-11/los-monos.html,elpais,elpais.com,1,70
